VEHICLE TYPE,MAKE,GENERIC MODEL,BODY TYPE,BATTERY TYPE,CAPACITY(KWH),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
CARS,KIA,KIA NIRO,SUV,LITHIUM-ION,51.6,2281,2059,1091,1271,295,0,0,0,0,0,0,0,6997
CARS,AUDI,AUDI Q3,SUV,LITHIUM-ION,51.5,553,0,0,0,0,0,0,0,0,0,0,0,553
CARS,VOLVO,VOLVO XC60,SUV,LITHIUM-ION,78,3537,2072,1005,882,178,0,0,0,0,0,0,0,7674
CARS,MG,MG HS,SUV,LITHIUM-ION,44.5,1623,174,0,0,0,0,0,0,0,0,0,0,1797
CARS,LEXUS,LEXUS NX 450,SUV,LITHIUM-ION,74.6,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,BMW,BMW X3,SUV,LITHIUM-ION,80,2392,736,0,0,0,0,0,0,0,0,0,0,3128
CARS,VOLKSWAGEN,VOLKSWAGEN TIGUAN,SUV,LITHIUM-ION,77,354,0,0,0,0,0,0,0,0,0,0,0,354
CARS,JEEP,JEEP COMPASS,SUV,LITHIUM-ION,11.4,48,0,0,0,0,0,0,0,0,0,0,0,48
CARS,VOLVO,VOLVO C40,SUV,LITHIUM-ION,78,29,0,0,0,0,0,0,0,0,0,0,0,29
CARS,MERCEDES,MERCEDES EQS CLASS,SEDAN,LITHIUM-ION,98.5,7,0,0,0,0,0,0,0,0,0,0,0,7
CARS,JAGUAR,JAGUAR F-PACE,SUV,LITHIUM-ION,90,719,0,0,0,0,0,0,0,0,0,0,0,719
CARS,MERCEDES,MERCEDES EQE CLASS,SEDAN,LITHIUM-ION,90,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,KIA,KIA SOUL,SUV,LITHIUM-ION,64,1136,884,30,423,215,157,129,20,0,0,0,0,2994
CARS,VOLKSWAGEN,VOLKSWAGEN PASSAT,SEDAN,LITHIUM-ION,13,1081,955,270,1618,1445,183,0,0,0,0,0,0,5552
CARS,PEUGEOT,PEUGEOT 3008,SUV,LITHIUM-ION,55,2295,1076,0,0,0,0,0,0,0,0,0,0,3371
CARS,MAZDA,MAZDA MX-30,SUV,LITHIUM-ION,35.5,2042,0,0,0,0,0,0,0,0,0,0,0,2042
CARS,JAGUAR,JAGUAR E-PACE,SUV,LITHIUM-ION,90,500,0,0,0,0,0,0,0,0,0,0,0,500
CARS,GENESIS,GENESIS GV60,SUV,LITHIUM-ION,77.4,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MERCEDES,MERCEDES GLA CLASS,SUV,LITHIUM-ION,66.5,1677,394,0,0,0,0,0,0,0,0,0,0,2071
CARS,BMW,BMW X2,SUV,LITHIUM-ION,62,1027,185,0,0,0,0,0,0,0,0,0,0,1212
CARS,PEUGEOT,PEUGEOT 308,HATCHBACK,LITHIUM-ION,55,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,CITROEN,CITROEN C5,SEDAN,LITHIUM-ION,50,682,284,0,0,0,0,0,0,0,0,0,0,966
CARS,SKODA,SKODA OCTAVIA,SEDAN,LITHIUM-ION,67.7,2173,18,0,0,0,0,0,0,0,0,0,0,2191
CARS,PORSCHE,PORSCHE CAYENNE,SUV,LITHIUM-ION,14.1,455,444,822,285,0,0,0,0,0,0,0,0,2006
CARS,HYUNDAI,HYUNDAI SANTA FE,SUV,LITHIUM-ION,13.8,186,0,0,0,0,0,0,0,0,0,0,0,186
CARS,HYUNDAI,HYUNDAI IONIQ,HATCHBACK,LITHIUM-ION,38.45,703,895,888,987,315,0,0,0,0,0,0,0,3788
CARS,DS,DS DS4,HATCHBACK,LITHIUM-ION,50,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,DS,DS DS7,SUV,LITHIUM-ION,13.2,214,154,0,0,0,0,0,0,0,0,0,0,368
CARS,VAUXHALL,VAUXHALL GRANDLAND,SUV,LITHIUM-ION,13.2,134,1405,0,0,0,0,0,0,0,0,0,0,1539
CARS,VOLKSWAGEN,VOLKSWAGEN ARTEON,SEDAN,LITHIUM-ION,13,191,0,0,0,0,0,0,0,0,0,0,0,191
CARS,HONDA,HONDA E,HATCHBACK,LITHIUM-ION,35.5,697,992,0,0,0,0,0,0,0,0,0,0,1689
CARS,KIA,KIA SORENTO,SUV,LITHIUM-ION,13.8,654,0,0,0,0,0,0,0,0,0,0,0,654
CARS,VOLVO,VOLVO V60,STATION WAGON,LITHIUM-ION,11.6,874,335,47,0,0,0,0,0,0,0,0,0,1256
CARS,AUDI,AUDI Q5,SUV,LITHIUM-ION,14.1,2397,1678,404,0,0,0,0,0,0,0,0,0,4479
CARS,PORSCHE,PORSCHE PANAMERA,SEDAN,LITHIUM-ION,17.9,253,114,510,618,681,177,198,188,90,0,0,0,2829
CARS,CITROEN,CITROEN BERLINGO,MINIVAN/VAN,LITHIUM-ION,50,71,0,0,0,0,0,0,0,0,0,0,0,71
CARS,PEUGEOT,PEUGEOT 508,SEDAN,LITHIUM-ION,11.8,347,578,0,0,0,0,0,0,0,0,0,0,925
CARS,RENAULT,RENAULT CAPTUR,SUV,LITHIUM-ION,9.8,597,212,0,0,0,0,0,0,0,0,0,0,809
CARS,SMART,SMART FORTWO,ELECTRIC CAR,LITHIUM-ION,17.6,838,621,388,288,116,0,18,114,82,9,114,59,2647
CARS,TOYOTA,TOYOTA PRIUS,HYBRID CAR,NICKEL-METAL HYDRIDE (NIMH),1.3,470,752,708,769,421,96,270,379,506,467,0,20,4858
CARS,LEXUS,LEXUS UX 300,SUV,LITHIUM-ION,54.3,1077,0,0,0,0,0,0,0,0,0,0,0,1077
CARS,BMW,BMW 7 SERIES,SEDAN,LITHIUM-ION,12,367,257,345,236,384,125,0,0,0,0,0,0,1714
CARS,SUZUKI,SUZUKI ACROSS,SUV,LITHIUM-ION,18.1,126,140,0,0,0,0,0,0,0,0,0,0,266
CARS,VAUXHALL,VAUXHALL COMBO,MINIVAN/VAN,LITHIUM-ION,50,18,0,0,0,0,0,0,0,0,0,0,0,18
CARS,BMW,BMW X1,SUV,LITHIUM-ION,11.45,2067,808,0,0,0,0,0,0,0,0,0,0,2875
CARS,VOLVO,VOLVO V90,STATION WAGON,LITHIUM-ION,22.8,206,113,177,134,42,0,0,0,0,0,0,0,672
CARS,VAUXHALL,VAUXHALL VIVARO,MINIVAN/VAN,LITHIUM-ION,62.5,412,25,0,0,0,0,0,0,0,0,0,0,437
CARS,VOLVO,VOLVO S60,SEDAN,LITHIUM-ION,11,77,136,60,0,0,0,0,0,0,0,0,0,273
CARS,LAND ROVER,LAND ROVER DEFENDER,SUV,LITHIUM-ION,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,JEEP,JEEP RENEGADE,SUV,LITHIUM-ION,13.2,620,155,0,0,0,0,0,0,0,0,0,0,775
CARS,VOLVO,VOLVO S90,SEDAN,LITHIUM-ION,11,237,85,107,57,27,0,0,0,0,0,0,0,513
CARS,VOLKSWAGEN,VOLKSWAGEN TOUAREG,SUV,LITHIUM-ION,15.9,40,0,0,0,0,0,0,0,0,0,0,0,40
CARS,SKODA,SKODA SUPERB,SEDAN,LITHIUM-ION,25,1634,1217,0,0,0,0,0,0,0,0,0,0,2851
CARS,VOLKSWAGEN,VOLKSWAGEN UP,HATCHBACK,LITHIUM-ION,16.8,1383,245,0,23,12,18,27,92,30,0,0,0,1830
CARS,PEUGEOT,PEUGEOT RIFTER,MINIVAN/VAN,LITHIUM-ION,22.5,11,0,0,0,0,0,0,0,0,0,0,0,11
CARS,GENESIS,GENESIS GV70,SUV,LITHIUM-ION,58,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MERCEDES,MERCEDES VITO,MINIVAN/VAN,LITHIUM-ION,50.7,133,93,10,0,0,0,0,0,0,0,0,0,236
CARS,PEUGEOT,PEUGEOT 3008,SUV,LITHIUM-ION,55,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,CUPRA,CUPRA LEON,HATCHBACK,LITHIUM-ION,57.2,528,52,0,0,0,0,0,0,0,0,0,0,580
